BaitUnit,Protein,gamma1,gamma2,gamma3,lambda1,lambda2,lambda3,pi1,pi2,pi3,rep1,rep2,tau
Treat_TMEMmyc,SMC5,1.754286933417219e-09,3.2414654926670285e-14,0.9999999982446806,6.335755677368679,7.9196945967109125,9.503633516209506,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,40.0,26.0,0.03162277660168379
Treat_TMEMV5,SMC5,4.823971223619186e-06,1.541655664649708e-12,0.9999951760262346,5.789256068911339,7.2365700861392535,8.683884103467774,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,23.0,22.0,0.03162277660168379
Treat_TMEMmyc,SMC6,1.9982424240399792e-08,9.678963923013529e-14,0.9999999800164789,6.335755677368679,7.9196945967109125,9.50363351618954,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,35.0,25.0,0.03162277660168379
Treat_TMEMV5,SMC6,9.528868932807317e-07,7.4347108044254e-13,0.9999990471113632,5.789256068911337,7.2365700861392535,8.68388410348234,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,32.0,17.0,0.03162277660168379
Treat_TMEMV5,SMCHD1,5.918304909649502e-20,8.563889172911835e-19,0.9999999999989999,5.789256068911337,7.2365700861392535,8.683884103755457,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,70.0,54.0,0.03162277660168379
Treat_TMEMmyc,SMCHD1,2.184438173159649e-26,8.1159951728693995e-22,0.9999999999989999,6.335755677368679,7.9196945967109125,9.50363351652894,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,91.0,71.0,0.03162277660168379
Treat_TMEMV5,SMCR8,0.9726479568524512,5.164732658517016e-11,0.02735204309492879,5.7892560688817,7.2365700861392535,8.683884103366017,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,5.0,1.0,0.03162277660168379
Treat_TMEMmyc,SMCR8,0.9986407930777661,7.412918371640255e-12,0.001359206913822401,6.33575567730552,7.9196945967109125,9.503633516053053,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,0.0,0.0,0.03162277660168379
Treat_TMEMmyc,SMG1,2.3101720965081754e-10,1.3026722837269277e-14,0.9999999997679696,6.335755677368679,7.9196945967109125,9.503633516226142,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,34.0,37.0,0.03162277660168379
Treat_TMEMV5,SMG1,5.5770293432037486e-08,2.0748931989995674e-13,0.999999944228499,5.789256068911337,7.2365700861392535,8.683884103507832,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,27.0,29.0,0.03162277660168379
Treat_TMEMmyc,SMG5,0.7905836945143103,1.0674755525649577e-10,0.2094163053781514,6.335755677369975,7.9196945967109125,9.503633516048954,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,8.0,5.0,0.03162277660168379
Treat_TMEMV5,SMG5,0.8753779897524312,1.1348222492003062e-10,0.12462201013321092,5.789256068903789,7.2365700861392535,8.683884103363807,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,7.0,3.0,0.03162277660168379
Treat_TMEMmyc,SMG6,2.592639698137277e-06,8.629839258116598e-13,0.9999974073584389,6.335755677368681,7.9196945967109125,9.50363351614961,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,26.0,22.0,0.03162277660168379
Treat_TMEMV5,SMG6,5.494529314361791e-05,4.603128421150561e-12,0.9999450547012533,5.789256068911346,7.2365700861392535,8.683884103445923,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,22.0,17.0,0.03162277660168379
Treat_TMEMV5,SMG7,0.3814448432043822,1.8863576833604455e-10,0.6185551566063634,5.78925606892055,7.2365700861392535,8.68388410336407,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,11.0,5.0,0.03162277660168379
Treat_TMEMmyc,SMG7,0.6265670092828307,1.3218970542990098e-10,0.3734329905843529,6.3357556773759605,7.9196945967109125,9.50363351604816,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,8.0,7.0,0.03162277660168379
Treat_TMEMmyc,SMG8,0.3320609973837188,1.3682895737051621e-10,0.6679390024787842,6.33575567737751,7.9196945967109125,9.5036335160509,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,9.0,9.0,0.03162277660168379
