rank,Protein,BaitUnit,gamma3,pi1,pi2,pi3,rep1,rep2,gamma3_avg,FDR
1,ATP5F1A,TMEMV5,0.9999999999989999,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,175.0,178.0,0.9999999999989999,1.000088900582341e-12
1,ATP5F1A,TMEMmyc,0.9999999999989999,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,185.0,185.0,0.9999999999989999,1.000088900582341e-12
1,ATP5F1B,TMEMV5,0.9999999999989999,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,116.0,108.0,0.9999999999989999,1.000088900582341e-12
1,ATP5F1B,TMEMmyc,0.9999999999989999,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,134.0,99.0,0.9999999999989999,1.000088900582341e-12
1,CAD,TMEMV5,0.9999999999989999,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,181.0,130.0,0.9999999999989999,1.000088900582341e-12
1,CAD,TMEMmyc,0.9999999999989999,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,240.0,195.0,0.9999999999989999,1.000088900582341e-12
1,CAND1,TMEMV5,0.9999999999989999,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,142.0,154.0,0.9999999999989999,1.000088900582341e-12
1,CAND1,TMEMmyc,0.9999999999989999,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,158.0,142.0,0.9999999999989999,1.000088900582341e-12
1,CCT2,TMEMV5,0.9999999999989999,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,124.0,110.0,0.9999999999989999,1.000088900582341e-12
1,CCT2,TMEMmyc,0.9999999999989999,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,140.0,115.0,0.9999999999989999,1.000088900582341e-12
1,CCT3,TMEMV5,0.9999999999989999,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,158.0,161.0,0.9999999999989999,1.000088900582341e-12
1,CCT3,TMEMmyc,0.9999999999989999,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,184.0,138.0,0.9999999999989999,1.000088900582341e-12
1,CCT4,TMEMV5,0.9999999999989999,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,111.0,102.0,0.9999999999989999,1.000088900582341e-12
1,CCT4,TMEMmyc,0.9999999999989999,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,109.0,87.0,0.9999999999989999,1.000088900582341e-12
1,CCT5,TMEMV5,0.9999999999989999,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,66.0,64.0,0.9999999999989999,1.000088900582341e-12
1,CCT5,TMEMmyc,0.9999999999989999,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,107.0,71.0,0.9999999999989999,1.000088900582341e-12
1,CCT6A,TMEMV5,0.9999999999989999,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,101.0,102.0,0.9999999999989999,1.000088900582341e-12
1,CCT6A,TMEMmyc,0.9999999999989999,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,120.0,100.0,0.9999999999989999,1.000088900582341e-12
1,CCT7,TMEMV5,0.9999999999989999,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,104.0,92.0,0.9999999999989999,1.000088900582341e-12
1,CCT7,TMEMmyc,0.9999999999989999,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,126.0,76.0,0.9999999999989999,1.000088900582341e-12
1,CCT8,TMEMV5,0.9999999999989999,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,68.0,53.0,0.9999999999989999,1.000088900582341e-12
1,CCT8,TMEMmyc,0.9999999999989999,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,65.0,61.0,0.9999999999989999,1.000088900582341e-12
1,CDK1,TMEMV5,0.9999999999989999,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,58.0,65.0,0.9999999999989999,1.000088900582341e-12
1,CDK1,TMEMmyc,0.9999999999989999,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,66.0,59.0,0.9999999999989999,1.000088900582341e-12
1,CENPF,TMEMV5,0.9999999999989999,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,106.0,95.0,0.9999999999989999,1.000088900582341e-12
1,CENPF,TMEMmyc,0.9999999999989999,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,142.0,122.0,0.9999999999989999,1.000088900582341e-12
1,CEP170,TMEMV5,0.9999999999989999,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,59.0,48.0,0.9999999999989999,1.000088900582341e-12
1,CEP170,TMEMmyc,0.9999999999989999,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,92.0,67.0,0.9999999999989999,1.000088900582341e-12
1,CHD4,TMEMV5,0.9999999999989999,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,106.0,64.0,0.9999999999989999,1.000088900582341e-12
1,CHD4,TMEMmyc,0.9999999999989999,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,136.0,99.0,0.9999999999989999,1.000088900582341e-12
1,CKAP5,TMEMV5,0.9999999999989999,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,85.0,46.0,0.9999999999989999,1.000088900582341e-12
1,CKAP5,TMEMmyc,0.9999999999989999,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,84.0,71.0,0.9999999999989999,1.000088900582341e-12
1,CLTC,TMEMV5,0.9999999999989999,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,361.0,286.0,0.9999999999989999,1.000088900582341e-12
1,CLTC,TMEMmyc,0.9999999999989999,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,468.0,380.0,0.9999999999989999,1.000088900582341e-12
1,CLTCL1,TMEMV5,0.9999999999989999,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,73.0,69.0,0.9999999999989999,1.000088900582341e-12
1,CLTCL1,TMEMmyc,0.9999999999989999,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,93.0,80.0,0.9999999999989999,1.000088900582341e-12
1,CNOT1,TMEMV5,0.9999999999989999,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,115.0,77.0,0.9999999999989999,1.000088900582341e-12
1,CNOT1,TMEMmyc,0.9999999999989999,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,120.0,99.0,0.9999999999989999,1.000088900582341e-12
